Year,Region,Alcohol_consumption,Schooling,Hepatitis_B,Measles,Polio,BMI
2000,Europe,290.78,9.937037037,82.62962963,84.7037037,94.62962963,25.62962963
2000,North America,21.06,10.13333333,67,89.33333333,91.66666667,26.83333333
2000,Oceania,31.17,7.254545455,84.09090909,68.81818182,80.63636364,26.60909091
2000,South America,106.41,7.068421053,87.84210526,78.63157895,86.89473684,25.47368421
2000,Africa,155.934,3.949019608,72.96078431,67.05882353,65.43137255,22.65098039
2000,Asia,57.947,6.644444444,76.2962963,67.62962963,83.92592593,22.72222222
2001,Europe,294.2,10.11481481,84.03703704,84.88888889,95.33333333,25.67407407
2001,North America,20.87,10.23333333,66.66666667,89.66666667,91.33333333,26.96666667
2001,Oceania,31.48,7.290909091,83,69,79.27272727,26.7
2001,South America,106.14,7.236842105,86.84210526,80.42105263,91,25.57894737
2001,Africa,155.887,4.005882353,73.90196078,66.64705882,66.15686275,22.74509804
2001,Asia,54.889,6.740740741,76.7037037,67.33333333,82.7037037,22.81481481
2002,Europe,296.26,10.28148148,86,85.59259259,95.48148148,25.74814815
2002,North America,20.95,10.4,66.33333333,86.66666667,92,27.03333333
2002,Oceania,32.34,7.345454545,81.54545455,72.18181818,78.90909091,26.77272727
2002,South America,109.29,7.305263158,87.05263158,78.57894737,89.52631579,25.67894737
2002,Africa,154.312,4.109803922,72.78431373,67.07843137,69.84313725,22.8254902
2002,Asia,54.471,6.833333333,77.62962963,69.62962963,83.44444444,22.89259259
2003,Europe,294.93,10.47037037,87.33333333,87.03703704,95.62962963,25.80740741
2003,North America,21.11,10.53333333,68,88.66666667,92.33333333,27.13333333
2003,Oceania,33.59,7.390909091,81.63636364,70.63636364,81.45454545,26.85454545
2003,South America,110.64,7.384210526,86.89473684,80,89.78947368,25.80526316
2003,Africa,148.392,4.174509804,74.39215686,67.31372549,71.74509804,22.90980392
2003,Asia,55.707,6.918518519,79.2962963,69.92592593,84.59259259,22.97407407
2004,Europe,300.91,10.73333333,88.03703704,86.62962963,95.51851852,25.86666667
2004,North America,21.28,10.73333333,68,89,93.66666667,27.23333333
2004,Oceania,31.99,7.463636364,78.27272727,69.09090909,74.90909091,26.95454545
2004,South America,105.66,7.457894737,88.89473684,82,89.42105263,25.91578947
2004,Africa,145.652,4.264705882,75.31372549,67.49019608,72.62745098,23
2004,Asia,56.434,7.033333333,78.44444444,70.74074074,86.18518519,23.07037037
2005,Europe,298.18,10.92222222,89.07407407,88.2962963,95.88888889,25.91481481
2005,North America,21.58,10.86666667,68.33333333,89.33333333,94.33333333,27.3
2005,Oceania,32.85,7.509090909,75.90909091,66.18181818,80.36363636,27.02727273
2005,South America,108.33,7.531578947,91.89473684,80.78947368,91.63157895,26.01578947
2005,Africa,149.675,4.358823529,76.17647059,67.64705882,74.90196078,23.08431373
2005,Asia,59.5544,7.118518519,80.11111111,69.59259259,86.96296296,23.16296296
2006,Europe,304.41,11.06666667,89.85185185,90.03703704,95.74074074,25.97407407
2006,North America,22.03,11.03333333,68.33333333,87,95.33333333,27.36666667
2006,Oceania,32.129,7.627272727,80.09090909,70.18181818,80.63636364,27.1
2006,South America,109.98,7.626315789,88.89473684,84.21052632,91.52631579,26.13157895
2006,Africa,153.9821,4.449019608,77.29411765,68.19607843,75.82352941,23.15882353
2006,Asia,59.655,7.2,84.37037037,70.81481481,86.92592593,23.25555556
2007,Europe,307.84,11.21851852,89.48148148,89.55555556,95.18518519,26.02222222
2007,North America,21.28,11.1,68.33333333,85.33333333,96.66666667,27.43333333
2007,Oceania,32.486,7.754545455,80.63636364,69.09090909,82.63636364,27.17272727
2007,South America,109.67,7.731578947,90.47368421,84.57894737,92.10526316,26.23684211
2007,Africa,156.2053,4.541176471,78.50980392,67.96078431,78.21568627,23.23921569
2007,Asia,64.287,7.259259259,85.25925926,70.59259259,86.88888889,23.34074074
2008,Europe,301.12,11.28148148,90.2962963,89.7037037,95,26.06296296
2008,North America,21.41,11.2,73,88.33333333,95.33333333,27.53333333
2008,Oceania,32.772,7.918181818,76.27272727,69.72727273,83.27272727,27.24545455
2008,South America,110.87,7.868421053,91.31578947,84.05263158,92.31578947,26.33157895
2008,Africa,150.509,4.623529412,79.03921569,67.74509804,79.23529412,23.31372549
2008,Asia,66.118,7.403703704,85.96296296,69.74074074,88.77777778,23.44074074
2009,Europe,287.11,11.34444444,90.33333333,89.48148148,95.07407407,26.12592593
2009,North America,21.44,11.3,76.33333333,87.33333333,93.66666667,27.56666667
2009,Oceania,31.625,8.063636364,80.09090909,66.63636364,83.45454545,27.33636364
2009,South America,105.17,7.952631579,91.57894737,83.73684211,92.15789474,26.44210526
2009,Africa,148.328,4.717647059,79.76470588,68.01960784,80.35294118,23.38039216
2009,Asia,63.322,7.525925926,88.33333333,74.14814815,90.40740741,23.54444444
2010,Europe,282.67,11.44814815,90.62962963,89.48148148,95.18518519,26.15925926
2010,North America,21.01,11.26666667,80.33333333,87.33333333,92.66666667,27.6
2010,Oceania,32.28,8.181818182,79.63636364,67.36363636,84.36363636,27.39090909
2010,South America,102.75,8.078947368,92.26315789,82.42105263,93.26315789,26.53684211
2010,Africa,148.98,4.809803922,80,67.88235294,80.52941176,23.45098039
2010,Asia,70.27,7.644444444,88.11111111,74.62962963,89.74074074,23.63333333
2011,Europe,283.79,11.4962963,91.33333333,89.74074074,95.77777778,26.20740741
2011,North America,20.86,11.46666667,86.33333333,89.33333333,92.66666667,27.66666667
2011,Oceania,31.6,8.290909091,81.72727273,73.09090909,85,27.49090909
2011,South America,103.18,8.173684211,90.84210526,83.21052632,92.05263158,26.64210526
2011,Africa,153.48,4.903921569,81.07843137,67.7254902,80.25490196,23.51568627
2011,Asia,71.05,7.737037037,87.7037037,78.14814815,91.51851852,23.74444444
2012,Europe,283.24,11.52962963,91.7037037,90.51851852,96.37037037,26.24074074
2012,North America,21.01,11.56666667,86.33333333,87,94.33333333,27.73333333
2012,Oceania,31.45,8.381818182,83.09090909,74.63636364,86.09090909,27.52727273
2012,South America,103.86,8.210526316,91.73684211,84.31578947,93,26.74736842
2012,Africa,153.22,5.007843137,81.68627451,67.01960784,81.2745098,23.57254902
2012,Asia,73.53,7.859259259,89.77777778,77.7037037,91.66666667,23.84814815
2013,Europe,277.75,11.64074074,92.14814815,90.37037037,96.33333333,26.26666667
2013,North America,20.82,11.5,76,82.66666667,89,27.76666667
2013,Oceania,29.88,8.463636364,83.27272727,77.54545455,85.54545455,27.6
2013,South America,104.69,8.289473684,91.94736842,83.52631579,91.89473684,26.85263158
2013,Africa,150.64,5.123529412,81.82352941,67.29411765,80.80392157,23.64705882
2013,Asia,78.33,7.948148148,89.59259259,80.51851852,91.48148148,23.94444444
2014,Europe,279.11,11.72592593,92.33333333,90.37037037,96.07407407,26.3
2014,North America,20.82,11.56666667,77,89,90.33333333,27.83333333
2014,Oceania,29.82,8.509090909,80.81818182,76.09090909,80.90909091,27.70909091
2014,South America,105.77,8.478947368,90.68421053,86.15789474,90,26.95263158
2014,Africa,154.44,5.196078431,82.19607843,67.41176471,81.01960784,23.71764706
2014,Asia,76.55,8.040740741,90.81481481,80.66666667,92.66666667,24.05925926
2015,Europe,279.55,11.82592593,92.11111111,90.14814815,95.25925926,26.34444444
2015,North America,21.02,11.66666667,76.33333333,89.33333333,90.33333333,27.86666667
2015,Oceania,29.46,8.581818182,80.54545455,75.27272727,81.81818182,27.77272727
2015,South America,107.05,8.542105263,90.52631579,85.68421053,90.21052632,27.05263158
2015,Africa,152.61,5.256862745,81.49019608,69.50980392,81.07843137,23.77647059
2015,Asia,75.42,8.096296296,92.03703704,81.22222222,93.22222222,24.14814815
